real_policy_rate,inflation_yoy,yield_spread,regime,date
0.603636,1.136364,3.171579,2,2002-02-01
0.367138,1.362862,3.554,2,2002-03-01
0.106009,1.643991,3.460909,2,2002-04-01
0.509165,1.240835,3.414545,2,2002-05-01
0.680782,1.069218,3.1765,2,2002-06-01
0.264386,1.465614,2.923182,2,2002-07-01
-0.007463,1.747463,2.517273,2,2002-08-01
0.233998,1.516002,2.12,2,2002-09-01
-0.277027,2.027027,2.190909,2,2002-10-01
-0.913521,2.253521,2.708421,2,2002-11-01
-1.240271,2.480271,2.792381,2,2002-12-01
-1.517456,2.757456,2.808571,2,2003-01-01
-1.886067,3.146067,2.642632,2,2003-02-01
-1.77521,3.02521,2.557143,2,2003-03-01
-0.915125,2.175125,2.698571,2,2003-04-01
-0.63415,1.89415,2.309048,2,2003-05-01
-0.728775,1.948775,2.114286,2,2003-06-01
-1.045556,2.055556,2.965455,2,2003-07-01
-1.186066,2.216066,3.415238,2,2003-08-01
-1.368319,2.378319,3.264286,2,2003-09-01
-1.031943,2.041943,3.280455,2,2003-10-01
-0.928375,1.928375,3.3,2,2003-11-01
-1.055204,2.035204,3.287727,2,2003-12-01
-1.026287,2.026287,3.1505,2,2004-01-01
-0.678453,1.688453,3.074211,2,2004-02-01
-0.740076,1.740076,2.826522,2,2004-03-01
-1.292576,2.292576,3.347619,2,2004-04-01
-1.897758,2.897758,3.7155,2,2004-05-01
-2.137668,3.167668,3.70381,2,2004-06-01
-1.679575,2.939575,3.238095,2,2004-07-01
-1.117425,2.547425,2.851364,2,2004-08-01
-0.929168,2.539168,2.515714,2,2004-09-01
-1.430914,3.190914,2.337,2,2004-10-01
-1.691622,3.621622,2.264,2,2004-11-01
-1.182318,3.342318,2.070909,2,2004-12-01
-0.564874,2.844874,1.9415,2,2005-01-01
-0.553026,3.053026,1.665263,2,2005-02-01
-0.576841,3.206841,1.867727,2,2005-03-01
-0.571793,3.361793,1.550952,2,2005-04-01
0.1307119999999999,2.869288,1.144286,2,2005-05-01
0.498973,2.541027,0.958182,0,2005-06-01
0.19284,3.06716,0.9175,2,2005-07-01
-0.146934,3.646934,0.762609,2,2005-08-01
-1.121834,4.741834,0.579048,2,2005-09-01
-0.570105,4.350105,0.6835,2,2005-10-01
0.66145,3.33855,0.535,0,2005-11-01
0.82145,3.33855,0.307143,0,2005-12-01
0.2712109999999999,4.018789,0.126,0,2006-01-01
0.851746,3.638254,0.078947,0,2006-02-01
1.172082,3.417918,0.133913,0,2006-03-01
1.176164,3.613836,0.200526,0,2006-04-01
0.962727,3.977273,0.17,0,2006-05-01
0.808276,4.181724,0.116364,0,2006-06-01
1.135331,4.104669,-0.1525,0,2006-07-01
1.323432,3.926568,-0.373478,0,2006-08-01
3.237928,2.012072,-0.531,0,2006-09-01
3.843672,1.406328,-0.520952,0,2006-10-01
3.281297,1.968703,-0.654762,0,2006-11-01
2.716022,2.523978,-0.6755,0,2006-12-01
3.174235,2.075765,-0.490476,0,2007-01-01
2.839739,2.420261,-0.537368,0,2007-02-01
2.461803,2.798197,-0.695455,0,2007-03-01
2.657075,2.592925,-0.55619,0,2007-04-01
2.540114,2.709886,-0.503636,0,2007-05-01
2.557235,2.692765,-0.147143,0,2007-06-01
2.942109,2.317891,-0.255714,0,2007-07-01
3.122552,1.897448,-0.345217,0,2007-08-01
2.106174,2.833826,-0.4184209999999999,0,2007-09-01
1.149302,3.610698,-0.232273,0,2007-10-01
0.116733,4.373267,-0.3415,0,2007-11-01
0.131187,4.108813,-0.1424999999999999,0,2007-12-01
-0.354696,4.294696,-0.195714,0,2008-01-01
-1.162959,4.142959,0.7575,2,2008-02-01
-1.364904,3.974904,0.9,2,2008-03-01
-1.623761,3.903761,1.395,2,2008-04-01
-2.108414,4.088414,1.9,2,2008-05-01
-2.935966,4.935966,2.099524,2,2008-06-01
-3.487512,5.497512,1.997727,2,2008-07-01
-3.308017,5.308017,1.885714,2,2008-08-01
-3.14332,4.95332,1.87619,2,2008-09-01
-2.761058,3.731058,2.844091,2,2008-10-01
-0.709917,1.099917,3.136667,2,2008-11-01
0.182228,-0.022228,2.256364,2,2008-12-01
0.263586,-0.113586,2.3675,2,2009-01-01
0.211537,0.008463,2.65,2,2009-02-01
0.626479,-0.446479,2.639545,2,2009-03-01
0.726324,-0.576324,2.777143,2,2009-04-01
1.195761,-1.015761,3.113,2,2009-05-01
